ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
2363	7	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2364	15	1	1	0.000000	1.066667	1.066667	0.000000	0.000000	0	0	0
2365	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2366	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2367	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2368	26	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2369	75	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2370	2	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
2371	12	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
2372	23	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2373	1	1	3	0.000000	1612.000000	2.000000	0.000000	0.000000	0	0	0
2374	30	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2375	19	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2376	12	1	2	0.000000	1.833333	1.833333	0.000000	0.000000	0	0	0
2377	13	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2378	88	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2379	121	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
2380	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2381	34	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2382	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2383	28	2	1	0.000000	1.428571	1.428571	0.000000	0.000000	0	0	0
2384	38	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2385	59	1	1	0.000000	1.033898	1.033898	0.000000	0.000000	0	0	0
2386	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2387	14	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2388	14	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2389	52	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2390	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2391	41	1	1	0.000000	1.243902	1.243902	0.000000	0.000000	0	0	0
2392	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2393	69	1	0	0.000000	1.028986	1.028986	0.000000	0.000000	0	0	0
2394	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2395	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2396	19	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2397	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2398	18	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2399	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2400	26	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2401	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2402	29	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2403	1	1	2	0.000000	607.000000	1.000000	0.000000	0.000000	0	0	0
2404	25	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2405	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2406	18	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2407	13	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
2408	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2409	12	1	1	0.000000	1.166667	1.166667	0.000000	0.000000	0	0	0
2410	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2411	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2412	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2413	83	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2414	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2415	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2416	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2417	17	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2418	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2419	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2420	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2421	57	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2422	30	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
2423	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2424	24	1	2	0.000000	1.916667	1.916667	0.000000	0.000000	0	0	0
2425	20	1	1	0.000000	1.150000	1.150000	0.000000	0.000000	0	0	0
2426	52	1	1	0.000000	1.038462	1.038462	0.000000	0.000000	0	0	0
2427	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2428	67	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2429	64	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2430	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2431	34	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2432	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2433	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2434	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2435	11	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2436	14	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2437	25	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2438	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2439	3	1	2	0.000000	1291.666667	2.000000	0.000000	0.000000	0	0	0
2440	5	3	1	0.000000	1301.200000	2.000000	0.000000	0.000000	0	0	0
2441	63	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2442	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2443	6	1	2	0.000000	1.833333	1.833333	0.000000	0.000000	0	0	0
2444	15	1	2	0.000000	1.266667	1.266667	0.000000	0.000000	0	0	0
2445	7	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2446	31	1	1	0.000000	1.612903	1.451613	0.000000	0.000000	0	0	0
2447	51	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2448	1	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
2449	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2450	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2451	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2452	15	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2453	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2454	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2455	49	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2456	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2457	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2458	25	1	2	0.000000	1.160000	1.160000	0.000000	0.000000	0	0	0
